Date,Net_Shorts
2017-01-03,26073
2017-01-10,26166
2017-01-17,28530
2017-01-24,41031
2017-01-31,44080
2017-02-07,33897
2017-02-14,43313
2017-02-21,35996
2017-02-28,32662
2017-03-07,27430
2017-03-14,30010
2017-03-21,33010
2017-03-28,30908
2017-04-04,27305
2017-04-11,29667
2017-04-18,23111
2017-04-25,27373
2017-05-02,32667
2017-05-09,21668
2017-05-16,29290
2017-05-23,37074
2017-05-30,40046
2017-06-06,38922
2017-06-13,43996
2017-06-20,36487
2017-06-27,45099
2017-07-03,52760
2017-07-11,54504
2017-07-18,58813
2017-07-25,61228
2017-08-01,73061
2017-08-08,79049
2017-08-15,83349
2017-08-22,81302
2017-08-29,81277
2017-09-05,76507
2017-09-12,74587
2017-09-19,66952
2017-09-26,60766
2017-10-03,56172
2017-10-10,53559
2017-10-17,56391
2017-10-24,55651
2017-10-31,57530
2017-11-07,43248
2017-11-14,40252
2017-11-21,40479
2017-11-28,37856
2017-12-05,28186
2017-12-12,20609
2017-12-19,34997
2017-12-26,46390
2018-01-02,49401
2018-01-09,44390
2018-01-16,32415
2018-01-23,9129
2018-01-30,1902
2018-02-06,992
2018-02-13,-8484
2018-02-20,-164
2018-02-27,234
2018-03-06,-13126
2018-03-13,-12437
2018-03-20,-12186
2018-03-27,-16212
2018-04-03,-17499
2018-04-10,-9167
2018-04-17,-8228
2018-04-24,-4069
2018-05-01,-7312
2018-05-08,-11730
2018-05-15,-10658
2018-05-22,-3770
2018-05-29,-7096
2018-06-05,3026
2018-06-12,9715
2018-06-19,-4138
2018-06-26,-11937
2018-07-03,-18541
2018-07-10,-27758
2018-07-17,-33890
2018-07-24,-36475
2018-07-31,-32124
2018-08-07,-33026
2018-08-14,-33715
2018-08-21,-27461
2018-08-28,-21493
2018-09-04,-20251
2018-09-11,-17041
2018-09-18,-14075
2018-09-25,-9748
2018-10-02,-12091
2018-10-09,-16029
2018-10-16,-10851
2018-10-23,-14285
2018-10-30,-15429
2018-11-06,-8763
2018-11-13,-11441
2018-11-20,-7141
2018-11-27,-6437
2018-12-04,-9579
2018-12-11,-8032
2018-12-18,-13847
2018-12-24,-10912
2018-12-31,-13744
2019-01-08,-16886
2019-01-15,-17857
2019-01-22,-15957
2019-01-29,-18158
2019-02-05,-11249
2019-02-12,-6902
2019-02-19,-7495
2019-02-26,-5814
2019-03-05,-8533
2019-03-12,-9131
2019-03-19,-8206
2019-03-26,-10491
2019-04-02,-8000
2019-04-09,-4446
2019-04-16,-4155
2019-04-23,-9251
2019-04-30,-10139
2019-05-07,-14278
2019-05-14,-16340
2019-05-21,-15626
2019-05-28,-16933
2019-06-04,-19023
2019-06-11,-21784
2019-06-18,-21024
2019-06-25,-10066
2019-07-02,-16762
2019-07-09,-16994
2019-07-16,-7195
2019-07-23,-8380
2019-07-30,-13040
2019-08-06,-16665
2019-08-13,-16412
2019-08-20,-14391
2019-08-27,-12041
2019-09-03,-12073
2019-09-10,-10904
2019-09-17,-12142
2019-09-24,-11847
2019-10-01,-16039
2019-10-08,-9707
2019-10-15,-6226
2019-10-22,-3319
2019-10-29,3313
2019-11-05,3843
2019-11-12,3162
2019-11-19,-49
2019-11-26,740
2019-12-03,-7866
2019-12-10,2183
2019-12-17,5247
2019-12-24,4963
2019-12-31,4155
2020-01-07,2327
2020-01-14,1999
2020-01-21,347
2020-01-28,-6396
2020-02-04,-13382
2020-02-11,-14407
2020-02-18,-14421
2020-02-25,-10928
2020-03-03,-5030
2020-03-10,-3725
2020-03-17,-4630
2020-03-24,-1947
2020-03-31,-324
2020-04-07,-689
2020-04-14,-2103
2020-04-21,-31
2020-04-28,917
2020-05-05,3487
2020-05-12,2810
2020-05-19,4436
2020-05-26,4388
2020-06-02,3489
2020-06-09,3460
2020-06-16,1038
2020-06-23,3471
2020-06-30,7469
2020-07-07,7941
2020-07-14,8285
2020-07-21,16332
2020-07-28,16801
2020-08-04,14501
2020-08-11,13330
2020-08-18,17377
2020-08-25,14787
2020-09-01,16004
2020-09-08,13251
2020-09-15,18052
2020-09-22,19546
2020-09-29,22636
2020-10-06,16071
2020-10-13,21457
2020-10-20,24812
2020-10-27,20981
2020-11-03,17894
2020-11-10,14397
2020-11-17,11372
2020-11-24,5942
2020-12-01,5843
2020-12-08,10441
2020-12-15,15175
2020-12-21,14553
2020-12-29,10576
2021-01-05,11270
2021-01-12,9337
2021-01-19,9752
2021-01-26,7868
2021-02-02,10862
2021-02-09,15664
2021-02-16,12759
2021-02-23,-5069
2021-03-02,-996
2021-03-09,-933
2021-03-16,-2778
2021-03-23,-930
2021-03-30,-1681
2021-04-06,3957
2021-04-13,1126
2021-04-20,484
2021-04-27,5018
2021-05-04,11345
2021-05-11,14376
2021-05-18,11713
2021-05-25,9335
2021-06-01,8245
2021-06-08,9043
2021-06-15,8393
2021-06-22,10149
2021-06-29,14645
2021-07-06,15150
2021-07-13,12164
2021-07-20,7562
2021-07-27,8234
2021-08-03,3586
2021-08-10,2071
2021-08-17,-1122
2021-08-24,3643
2021-08-31,9061
2021-09-07,7189
2021-09-14,6281
2021-09-21,2773
2021-09-28,10381
2021-10-05,11239
2021-10-12,12145
2021-10-19,12590
2021-10-26,9790
2021-11-02,2605
2021-11-09,1131
2021-11-16,3790
2021-11-23,5424
2021-11-30,3841
2021-12-07,6515
2021-12-14,4931
2021-12-21,5572
2021-12-28,6154
2022-01-04,6417
2022-01-11,5438
2022-01-18,5480
2022-01-25,1683
2022-02-01,2612
2022-02-08,5329
2022-02-15,5281
2022-02-22,7044
2022-03-01,8259
2022-03-08,9659
2022-03-15,9725
2022-03-22,9068
2022-03-29,10113
2022-04-05,4412
2022-04-12,4037
2022-04-19,5249
2022-04-26,5362
2022-05-03,5549
2022-05-10,3679
2022-05-17,4989
2022-05-24,6619
2022-05-31,6353
2022-06-07,7830
2022-06-14,5587
2022-06-21,4555
2022-06-28,4937
2022-07-05,5069
2022-07-12,7954
2022-07-19,9300
2022-07-26,6402
2022-08-02,9240
2022-08-09,8643
2022-08-16,11047
2022-08-23,13512
2022-08-30,14588
2022-09-06,12857
2022-09-13,14117
2022-09-20,16024
2022-09-27,16560
2022-10-04,15273
2022-10-11,15736
2022-10-18,14064
2022-10-25,13631
2022-11-01,12573
2022-11-08,12917
2022-11-15,15545
2022-11-22,10837
2022-11-29,10498
2022-12-06,13648
2022-12-13,13293
2022-12-20,13438
2022-12-27,13307
2023-01-03,12184
2023-01-10,16184
2023-01-17,16716
2023-01-24,19058
2023-01-31,20057
2023-02-07,14506
2023-02-14,12996
2023-02-21,16013
2023-02-28,8392
2023-03-07,6240
2023-03-14,4944
2023-03-21,4918
2023-03-28,6829
2023-04-04,6490
2023-04-11,9463
2023-04-18,9165
2023-04-25,5842
2023-05-02,5356
2023-05-09,8037
2023-05-16,8612
2023-05-23,11905
2023-05-30,11453
2023-06-06,13679
2023-06-13,18506
2023-06-20,19952
2023-06-27,17703
2023-07-03,17728
2023-07-11,14298
2023-07-18,13097
2023-07-25,10302
2023-08-01,9039
2023-08-08,4878
2023-08-15,5714
2023-08-22,7845
2023-08-29,10181
2023-09-05,10607
2023-09-12,8555
2023-09-19,10061
2023-09-26,7402
2023-10-03,8868
2023-10-10,9599
2023-10-17,4462
2023-10-24,3056
2023-10-31,2688
2023-11-07,1569
2023-11-14,3999
2023-11-21,13837
2023-11-28,10622
2023-12-05,9169
2023-12-12,10304
2023-12-19,9508
2023-12-26,7121
2024-01-02,72
2024-01-09,-5005
2024-01-16,-1852
2024-01-23,-2784
2024-01-30,3777
2024-02-06,-8407
2024-02-13,-11231
2024-02-20,4989
2024-02-27,6649
2024-03-05,-3236
2024-03-12,356
2024-03-19,-780
2024-03-26,-7996
2024-04-02,-10016
2024-04-09,538
2024-04-16,-498
2024-04-23,4598
2024-04-30,944
2024-05-07,-797
2024-05-14,7445
2024-05-21,3613
2024-05-28,-2534
2024-06-04,-6077
2024-06-11,-8071
2024-06-18,-6987
2024-06-25,-11095
2024-07-02,-15476
2024-07-09,-12075
2024-07-16,-16005
2024-07-23,-20589
2024-07-30,-14270
2024-08-06,-12662
2024-08-13,-8322
2024-08-20,-6662
2024-08-27,-558
2024-09-03,-685
2024-09-10,2711
2024-09-17,200
2024-09-24,-282
2024-10-01,-5187
2024-10-08,-7403
2024-10-15,-9311
2024-10-22,-9215
2024-10-29,-6219
2024-11-05,-4740
2024-11-12,-10946
2024-11-19,-6106
2024-11-26,-706
2024-12-03,1221
2024-12-10,2580
2024-12-17,442
2024-12-24,-366
2024-12-31,-5078
2025-01-07,1912
2025-01-14,2727
2025-01-21,2651
2025-01-28,3497
2025-02-04,3043
2025-02-11,3537
2025-02-18,7983
2025-02-25,-365
2025-03-04,-4110
2025-03-11,-4382
2025-03-18,-1240
2025-03-25,2592
2025-04-01,4407
2025-04-08,-10075
2025-04-15,-6107
2025-04-22,-8610
2025-04-29,-443
2025-05-06,382
2025-05-13,2270
2025-05-20,-156
2025-05-27,-1744
2025-06-03,-929
2025-06-10,-739
2025-06-17,-1152
2025-06-24,-1184
2025-07-01,-1900
2025-07-08,-1966
2025-07-15,-1421
2025-07-22,-543
2025-07-29,-687
2025-08-05,-2437
2025-08-12,-3043
2025-08-19,-423
2025-08-26,2524
2025-09-02,9898
2025-09-09,11134
2025-09-16,11749
2025-09-23,13159
2025-09-30,15859
2025-10-07,17380
